product_sold,date,quantity,unit_price,total_price,currency,site,discount_coupon,discount_value,buyer_birth_date,buyer_name,delivery_country,invoice_id
NEW MEGANIUM RG35XX,2024-07-16,2,90.0,180,EUR,Etsy,COUPONmbYaK,41.77,1988-09-11,Amanda Edwards,USA,ed3757a2-926c-4139-8f18-41c56fc5f7c1
NEW MEGANIUM RG 40XXV,2024-07-07,2,100.0,200,GBP,Shopee,COUPONKuLNE,19.43,1973-01-30,James Williams DVM,Canada,f4f2db2c-2be3-4242-907d-9a011f6c96b7
NEW MEGANIUM RG35XX,2024-07-04,5,90.0,450,USD,Shopee,COUPONMUice,25.73,1965-02-18,Vincent Peters,Germany,eee84ba9-3f74-4b5e-bbd7-debd64fa36d6
NEW MEGANIUM RG35XX,2024-08-23,5,90.0,450,GBP,Shopee,COUPONjCdqS,86.68,1987-12-29,Kevin Craig,Australia,89db0744-0a57-4d60-b471-ce1652c69078
MEGANIUM RG353M,2024-10-12,5,110.0,550,GBP,Shopee,COUPONABeIK,86.51,1987-11-07,Lori Duarte,UK,b835d960-9478-4b9a-bc86-d495a5364bd4
NEW MEGANIUM RG 40XXV,2024-10-04,4,100.0,400,EUR,Shopee,COUPONwSfOF,41.35,1965-10-15,Geoffrey Rodriguez,Canada,7d02c5cf-33ae-4c14-84ed-5c4b64f61e68
NEW MEGANIUM RG28XX,2024-10-21,4,70.0,280,GBP,Etsy,COUPONoRkOI,24.72,1982-03-02,Ryan Spencer,Canada,324a203e-e304-4d8a-9eec-cec2d32da419
NEW MEGANIUM RG 40XXV,2024-06-04,4,100.0,400,EUR,Etsy,COUPONJFlOA,106.26,1991-06-10,Eric Stein,UK,05317d03-7dc3-4c88-a62f-8e610302cc10
MEGANIUM RG353M,2024-10-23,1,110.0,110,GBP,Shopee,COUPONACTNZ,31.28,1973-03-06,Edward Chang,USA,05d8f9a4-32b3-4ac9-8995-88bb686f5247
NEW MEGANIUM RG 40XXV,2024-11-05,5,100.0,500,EUR,Etsy,COUPONCZWqO,144.01,1994-02-25,Rachel Howard,Canada,9af7b462-f7ef-4725-98df-f4e7e4d96e71
NEW MEGANIUM RG35XX,2024-07-13,2,90.0,180,EUR,Shopee,COUPONUYWDR,16.97,2005-06-20,Jermaine Hunter DVM,UK,e741237c-834a-43f4-839b-0efb6f911c07
NEW MEGANIUM RG35XX,2024-08-30,3,90.0,270,GBP,AliExpress,COUPONmLuHb,34.67,1989-10-15,Kristen Ellis,Germany,ae3554cb-b06b-45b3-ad2a-907b5a5c1683
MEGANIUM RG353M,2024-08-31,5,110.0,550,USD,Etsy,COUPONMKNZi,99.86,1981-08-30,Michael Hancock,Australia,26adfedc-e93d-4d0e-bd08-ac38b615f033
NEW MEGANIUM RG28XX,2024-08-07,3,70.0,210,GBP,Etsy,COUPONmWhFk,25.79,1972-06-06,Mrs. Danielle Rodgers,USA,d372bd0e-3e9c-4b92-9dc3-2060233b8ef9
MEGANIUM RG353M,2024-08-24,2,110.0,220,USD,Etsy,COUPONKOUXq,63.58,1967-12-28,Stephanie Villanueva,UK,239ff569-c029-4bda-a5cf-5efd4de25a82
NEW MEGANIUM RG 40XXV,2024-08-05,1,100.0,100,USD,Etsy,COUPONoMqmz,28.33,2000-04-25,Michael Nguyen,France,2122a264-2df7-44ea-84c1-33fda5eda065
NEW MEGANIUM RG35XX,2024-07-15,3,90.0,270,EUR,Shopee,COUPONzVHWX,67.93,1967-04-03,Sharon Graves,Canada,fde78978-9a41-4728-9652-82ff16b77957
NEW MEGANIUM RG 40XXV,2024-07-01,3,100.0,300,EUR,Shopee,COUPONbsOfW,45.9,1980-05-31,Erin Thomas,UK,25a12800-bad8-440a-aebb-7fd1dc5de3d0
NEW MEGANIUM RG 40XXV,2024-11-02,1,100.0,100,EUR,Etsy,COUPONIKrKv,17.7,1990-12-15,Shawn Mcclure,Australia,86a8b5ec-8e44-4a83-9220-c4cec609e6b1
NEW MEGANIUM RG CubeXX,2024-07-21,3,80.0,240,GBP,AliExpress,COUPONtWtZY,37.57,1981-04-17,Natalie Wells,Japan,5369f9fe-f90d-4b63-9b5d-9dbe771fba98
NEW MEGANIUM RG 40XXV,2024-09-22,5,100.0,500,GBP,Shopee,COUPONqcJQe,40.1,1971-07-08,Andrew Potter,UK,87c098c0-8481-4a23-9b5d-7df1613e0455
NEW MEGANIUM RG 40XXV,2024-06-24,2,100.0,200,EUR,Etsy,COUPONhbJwm,43.4,1971-01-04,Kathryn Gonzalez,UK,2602b758-e884-4153-abbb-f59158f3df09
NEW MEGANIUM RG 40XXV,2024-10-17,4,100.0,400,GBP,AliExpress,COUPONxCNoS,70.61,2004-07-16,Jonathan Sandoval,Germany,c5718e2b-d3c6-4fce-b23b-0a9aebb9e32b
MEGANIUM RG353M,2024-05-23,3,110.0,330,GBP,AliExpress,COUPONaMilh,85.67,1995-08-07,Gary Clayton,USA,dac021da-e41a-4938-9cf7-748efe4f3e15
MEGANIUM RG353M,2024-09-24,2,110.0,220,USD,AliExpress,COUPONKCyYD,39.8,1977-01-30,Joseph Burnett,Australia,ce72639b-1e0d-4790-bc0c-695aa42d7b59
NEW MEGANIUM RG28XX,2024-06-17,1,70.0,70,EUR,AliExpress,COUPONYuhco,15.85,1969-03-03,Matthew Allen,UK,5243dba6-2ee4-4b75-8c25-e9ae755e0949
NEW MEGANIUM RG CubeXX,2024-05-20,2,80.0,160,USD,AliExpress,COUPONMkQrY,13.54,1987-03-23,Brent Diaz,USA,cbe4227a-df73-44c4-9de8-7f7d11f2ff51
NEW MEGANIUM RG 40XXV,2024-06-03,4,100.0,400,USD,Shopee,COUPONURTIV,71.08,2004-04-27,Andrew Anderson,Japan,eaacff60-9892-4a76-8237-50c26da472cc
NEW MEGANIUM RG 40XXV,2024-08-01,4,100.0,400,EUR,Etsy,COUPONksqFS,111.55,1975-08-20,Samuel Meyer MD,UK,87908c3b-7ee4-4b63-b17b-96023b9d0be9
NEW MEGANIUM RG35XX,2024-10-16,3,90.0,270,EUR,Etsy,COUPONaghQF,56.29,1966-08-27,Joshua Mcdowell,France,36f9dad4-3833-4b29-bd68-0ecc4b5aa891
NEW MEGANIUM RG28XX,2024-09-22,3,70.0,210,GBP,AliExpress,COUPONYmCnq,12.0,1988-08-29,Kathleen Medina,France,b657a2e4-844b-45be-b280-9881f8f42255
NEW MEGANIUM RG 40XXV,2024-08-07,2,100.0,200,GBP,Etsy,COUPONMVoOO,13.59,1974-01-03,Nathan Rowe,Japan,8fc3d39d-db5d-4d8c-ba1b-e596adc253a4
NEW MEGANIUM RG35XX,2024-10-29,2,90.0,180,EUR,AliExpress,COUPONmUfhX,41.05,1968-02-08,Tiffany Rosario,Canada,3db2d140-4e78-4a77-9d7e-f56d75c81e80
NEW MEGANIUM RG CubeXX,2024-08-12,3,80.0,240,USD,Etsy,COUPONljCpp,13.59,1983-09-09,Phillip Barnes,Canada,de8b2298-1ecb-4424-81b8-95039d5e0fbe
NEW MEGANIUM RG35XX,2024-06-27,4,90.0,360,USD,Shopee,COUPONfsWOj,92.77,1994-11-15,William Flores,France,645384e9-78b0-4f3f-9ee8-ab8e3af6f204
NEW MEGANIUM RG28XX,2024-05-23,5,70.0,350,GBP,Shopee,COUPONTAWrR,87.56,1993-08-02,Jeffrey Allen,Australia,d378621c-24f1-43a7-8535-3b41878107e0
